Company Name,Company Profile URL,Job Title,Job Posting URL,Portal,Country,Tier Signal,Date
See's Candies,https://www.linkedin.com/company/sees-candies,E-mail Operations Planner,https://www.linkedin.com/jobs/view/e-mail-operations-planner-at-see-s-candies-4436436535?_l=en,LinkedIn,United States,Email Marketer,
Utah Mammoth,https://www.linkedin.com/company/utah-mammoth,Email Coordinator,https://www.linkedin.com/jobs/view/email-coordinator-at-utah-mammoth-4446374515?_l=en,LinkedIn,United States,Email Marketer,
University at Buffalo,https://www.linkedin.com/school/universityatbuffalo,"Digital Production Specialist, University Advancement",https://www.linkedin.com/jobs/view/digital-production-specialist-university-advancement-at-university-at-buffalo-4443213107?_l=en,LinkedIn,United States,Email Marketer,
The Minnesota Star Tribune,https://www.linkedin.com/company/star-tribune,Subscriber Retention Coordinator,https://www.linkedin.com/jobs/view/subscriber-retention-coordinator-at-the-minnesota-star-tribune-4434590028?_l=en,LinkedIn,United States,Email Marketer,
ALS,https://au.linkedin.com/company/als,Marketing Executive,https://www.linkedin.com/jobs/view/marketing-executive-at-als-4441814751?_l=en,LinkedIn,United Kingdom,Email Marketer,
NewDay,https://uk.linkedin.com/company/newday,"Associate, Salesforce Platform",https://www.linkedin.com/jobs/view/associate-salesforce-platform-at-newday-4434706445?_l=en,LinkedIn,United Kingdom,Email Marketer,
Taylor & Francis Group,https://uk.linkedin.com/company/taylor-&-francis-group,CRM Delivery Manager,https://www.linkedin.com/jobs/view/crm-delivery-manager-at-taylor-francis-group-4444966551?_l=en,LinkedIn,United Kingdom,Email Marketer,
Robert Half,https://www.linkedin.com/company/robert-half-international,Email Marketing Specialist,https://www.linkedin.com/jobs/view/email-marketing-specialist-at-robert-half-4444138461?_l=en,LinkedIn,United Kingdom,Email Marketer,
Cotswold Outdoor Group,https://uk.linkedin.com/company/cotswoldoutdoorgroupltd,Email Marketing Executive,https://www.linkedin.com/jobs/view/email-marketing-executive-at-cotswold-outdoor-group-4445936952?_l=en,LinkedIn,United Kingdom,Email Marketer,
Harvey Nichols,https://uk.linkedin.com/company/harvey-nichols,CRM Executive,https://www.linkedin.com/jobs/view/crm-executive-at-harvey-nichols-4444989892?_l=en,LinkedIn,United Kingdom,Email Marketer,
The University of Sheffield,https://uk.linkedin.com/school/university-of-sheffield,Content Marketing Executive,https://www.linkedin.com/jobs/view/content-marketing-executive-at-the-university-of-sheffield-4439244099?_l=en,LinkedIn,United Kingdom,Email Marketer,
The Jockey Club,https://uk.linkedin.com/company/thejockeyclub,Senior CRM Executive,https://www.linkedin.com/jobs/view/senior-crm-executive-at-the-jockey-club-4444963230?_l=en,LinkedIn,United Kingdom,Email Marketer,
Lounge,https://uk.linkedin.com/company/lounge-underwear,Senior CRM Executive,https://www.linkedin.com/jobs/view/senior-crm-executive-at-lounge-4385506338?_l=en,LinkedIn,United Kingdom,Email Marketer,
JeffersonLocke,https://uk.linkedin.com/company/jeffersonlocke,Marketing Automation Specialist,https://www.linkedin.com/jobs/view/marketing-automation-specialist-at-jeffersonlocke-4447018133?_l=en,LinkedIn,United Kingdom,Email Marketer,
Central Employment,https://uk.linkedin.com/company/central-employment-agency,Email Marketing Campaign Specialist (Klayvio),https://www.linkedin.com/jobs/view/email-marketing-campaign-specialist-klayvio-at-central-employment-4444568469?_l=en,LinkedIn,United Kingdom,Email Marketer,
Superdrug,https://uk.linkedin.com/company/superdrug,Customer Relationship Management Specialist,https://www.linkedin.com/jobs/view/customer-relationship-management-specialist-at-superdrug-4444108262?_l=en,LinkedIn,United Kingdom,Email Marketer,
Green Folk,https://uk.linkedin.com/company/green-folk-ltd,HubSpot Specialist,https://www.linkedin.com/jobs/view/hubspot-specialist-at-green-folk-4446319655?_l=en,LinkedIn,United Kingdom,Email Marketer,
Pareto,https://uk.linkedin.com/company/paretolaw,Marketing Specialist,https://www.linkedin.com/jobs/view/marketing-specialist-at-pareto-4445918979?_l=en,LinkedIn,United Kingdom,Email Marketer,
inlights.io,https://uk.linkedin.com/company/inlightsuk,Email Designer & Developer,https://www.linkedin.com/jobs/view/email-designer-developer-at-inlights-io-4446043633?_l=en,LinkedIn,United Kingdom,Email Marketer,
WeDoCRM,https://uk.linkedin.com/company/wedocrm,CRM Executive,https://www.linkedin.com/jobs/view/crm-executive-at-wedocrm-4446749686?_l=en,LinkedIn,United Kingdom,Email Marketer,
Arbuthnot Latham,https://uk.linkedin.com/company/arbuthnot-latham,CRM Marketing Specialist,https://www.linkedin.com/jobs/view/crm-marketing-specialist-at-arbuthnot-latham-4443615074?_l=en,LinkedIn,United Kingdom,Email Marketer,
Nigel Wright Recruitment,https://uk.linkedin.com/company/nigel-wright-recruitment,CRM Executive,https://www.linkedin.com/jobs/view/crm-executive-at-nigel-wright-recruitment-4444937336?_l=en,LinkedIn,United Kingdom,Email Marketer,
Tripadvisor,https://www.linkedin.com/company/tripadvisor,Community & Customer Marketing Specialist (Bókun),https://www.linkedin.com/jobs/view/community-customer-marketing-specialist-b%C3%B3kun-at-tripadvisor-4417102788?_l=en,LinkedIn,United Kingdom,Email Marketer,
Fresha,https://uk.linkedin.com/company/heyfresha,CRM Executive,https://www.linkedin.com/jobs/view/crm-executive-at-fresha-4447058400?_l=en,LinkedIn,United Kingdom,Email Marketer,
British Horse Society,https://uk.linkedin.com/company/british-horse-society-the-,Marketing Executive- Supporter Engagement & Retention,https://www.linkedin.com/jobs/view/marketing-executive-supporter-engagement-retention-at-british-horse-society-4446336827?_l=en,LinkedIn,United Kingdom,Email Marketer,
Propertymark,https://uk.linkedin.com/company/propertymark,Marketing and Communications Officer,https://www.linkedin.com/jobs/view/marketing-and-communications-officer-at-propertymark-4444926695?_l=en,LinkedIn,United Kingdom,Email Marketer,
Sanderson Design Group plc.,https://uk.linkedin.com/company/sanderson-design-group,Digital CRM Executive,https://www.linkedin.com/jobs/view/digital-crm-executive-at-sanderson-design-group-plc-4442848737?_l=en,LinkedIn,United Kingdom,Email Marketer,
